,,"LMP Bus Model Update - March 12, 2008",,


Busses Added,,,,

Pnode ID,Tx Zone,Substation,Voltage,Equipment
65732135,ME,SREADING,69 KV,EVERGREN
65732137,PN,ETOWANDA,115 KV,NTIER
65732139,APS,WESTVACO,138 KV,WVACO G1
65732141,APS,WESTVACO,138 KV,WVACO G2
65732143,COMED,959ERDBS,138 KV,BSWFBRS1
65732145,COMED,959ERDBS,138 KV,BSWFNTS2
65732147,COMED,959ERDBS,138 KV,BSWFZEF3
65732149,COMED,959ERDBS,138 KV,BSWFERS4
65732151,AEP,FOOTHILL,18 KV,UNIT 1
65732153,AEP,FOOTHILL,18 KV,UNIT 2
65732155,AEP,ZELDA,18 KV,UNIT 1
65732157,AEP,ZELDA,18 KV,UNIT 2
65732159,AEP,ZELDA,18 KV,UNIT 3
65732161,DOM,NEAST,35 KV,OLDDOMLF
65732029,PS,LAKENELS,230 KV,T220-1
65732031,PE,NEWLINVI,35 KV,LOAD2
65732033,PE,NEWLINVI,35 KV,LOAD3
65732035,PL,BRUNNERI,230 KV,T40
65732037,PL,BRUNNERI,230 KV,T50
65732039,PL,MONTOUR,230 KV,T40
65732041,PL,MONTOUR,230 KV,T30
65732043,BC,BUENAVIS,34.5 KV,230-1LD
65732045,BC,BUENAVIS,34.5 KV,230-2LD
65732051,BC,CRYSTLSP,34.5 KV,110-1LD
65732053,BC,CRYSTLSP,34.5 KV,110-2LD
65732055,BC,DORSEYRN,13.8 KV,110-1LD
65732057,BC,DORSEYRN,13.8 KV,110-2LD
65732059,BC,FERNDALE,13.8 KV,110-3LD
65732061,BC,FERNDALE,13.8 KV,110-2LD
65732063,BC,FINKSBUR,13.8 KV,110-3LD
65732065,BC,FINKSBUR,34.5 KV,110-1LD
65732067,BC,FINKSBUR,34.5 KV,110-2LD
65732069,BC,HANOVERT,115 KV,COL PIPE
65732071,BC,MAPESRD,115 KV,NSA1
65732073,BC,MAPESRD,115 KV,NSA2
65732075,BC,NAJ,13.8 KV,110-1LD
65732077,BC,NAJ,13.8 KV,110-6LD
65732079,BC,NAJ,34.5 KV,110-2LD
65732081,BC,NAJ,34.5 KV,110-3LD
65732083,BC,NAJ,34.5 KV,110-4LD
65732085,BC,RIDGVIEW,13.8 KV,110-1LD
65732087,BC,RIDGVIEW,13.8 KV,110-2LD
65732089,BC,SHIPLEY,13.8 KV,110-6LD
65732091,BC,SHIPLEY,13.8 KV,110-5LD
65732093,BC,SHIPLEY,34.5 KV,110-1LD
65732095,BC,SHIPLEY,34.5 KV,110-2LD
65732097,BC,SHIPLEY,34.5 KV,110-3LD
65732099,BC,WESMSTER,13.8 KV,110-3LD
65732101,BC,WESMSTER,13.8 KV,110-4LD
65732103,BC,WESMSTER,34.5 KV,110-1LD
65732105,BC,WESMSTER,34.5 KV,110-2LD
65732107,BC,WHITEROC,13.8 KV,110-2LD
65732109,BC,WHITEROC,34.5 KV,110-1LD
65732111,BC,WHITEROC,34.5 KV,110-3LD
65732113,BC,WHITEROC,115 KV,COL PIPE
65732115,JC,LLIFF,230 KV,230LOAD1
65732117,AE,LEWIS,69 KV,FAA
65732119,AE,WELLS,69 KV,WELLSLD
65732121,COMED,0902,138 KV,ESS J
65732123,COMED,11106,138 KV,ESSH480
65732125,COMED,1210,138 KV,J 401
65732127,COMED,12204,138 KV,ESSB450
65732129,AEP,PROGRESS,138 KV,XT2 LOAD
65732131,AEP,STEUBENV,69 KV,LOAD1
65732133,AEP,TIDD_AEP,69 KV,LOAD1

Busses Deleted,,,,

Pnode ID,Tx Zone,Substation,Voltage,Equipment
61482299,COMED,81 TOULO,138 KV,CAMPGRWF
63381381,COMED,937 LEE,345 KV,BIGSKYWF
49187,BC,COLU BC,230 KV,ONE
63381203,BC,HIGHRIDG,115 KV,DORSEYR1
63381205,BC,HIGHRIDG,115 KV,DORSEYR2,,,,,
48933927,BC,HIGHRIDG,230 KV,DORSEYT1,,,,,
48933929,BC,HIGHRIDG,230 KV,DORSEYT2,,,,,
44460723,JC,ATLANTIC,230 KV,BANK3,,,,,
10700742,AE,MCKEECIT,69 KV,T1,,,,,
32407471,COMED,23 COLLI,138 KV,ATR97134,,,,,
32407629,COMED,35 LAKEV,69 KV,TR3 12,,,,,
32407631,COMED,35 LAKEV,69 KV,TR4 12,,,,,
32410709,AEP,BREED,345 KV,T1,,,,,

Busses Changed,,,,,,,,,

Changed From:,,,,,,Changed To:,,,
Pnode ID,Tx Zone,Substation,Voltage,Equipment,Pnode ID,Tx Zone,Substation,Voltage,Equipment
49185,BC,CHESTNUT,13 KV,ONE,65732047,BC,CHESTNUT,13 KV,110-1LD
49186,BC,CHESTNUT,13 KV,TWO,65732049,BC,CHESTNUT,13 KV,110-2LD
