,,"LMP Bus Model Update - May 14, 2008",,


Busses Added,,,,

Pnode ID,Tx Zone,Substation,Voltage,Equipment
67719765,PL,ELDRED,69 KV,COMMONLF
67719767,PN,CARL PN,115 KV,CUMBCOLF
67719769,PN,KRAYN,34.5 KV,HIGHLDWF
67719771,PN,MILLRUN2,34.5 KV,CHSTNTWF
67719773,APS,ELLIOTSV,34.5 KV,ELLIOTWF
67719775,AEP,FOWLER,34.5 KV,FWLR1AWF
67719777,AEP,FOWLER,34.5 KV,FWLR1BWF
67719779,AEP,FOWLER,34.5 KV,FWLR3WF
67719495,PE,SWARK,13 KV,BUS1
67719497,PE,SWARK,13 KV,BUS3
67719499,PE,USSTEEL,69 KV,LOAD A
67719503,PL,SUSQT10,230 KV,T10X
67719505,PL,SUSQUEHA,24 KV,T11
67719507,PL,SUSQUEHA,24 KV,T11X
67719509,PL,SUSQUEHA,24 KV,T12
67719511,PL,SUSQUEHA,24 KV,T12X
67719513,PL,SUSQUEHA,230 KV,T20X
67719515,BC,E TOWSON,13.8 KV,110-1LD
67719517,BC,E TOWSON,13.8 KV,110-2LD
67719519,BC,E TOWSON,13.8 KV,110-5LD
67719521,BC,E TOWSON,34.5 KV,110-3LD
67719523,BC,E TOWSON,34.5 KV,110-4LD
67719525,BC,PERRYMAN,115 KV,110-1LD
67719527,BC,SHAWANRD,34.5 KV,110-1LD
67719529,BC,SHAWANRD,34.5 KV,110-2LD
67719531,JC,DRAKESTO,115 KV,LD 1
67719533,PEP,MORGANTO,230 KV,FCIR80
67719535,PEP,MORGANTO,230 KV,FCIR90
67719537,APS,HREACHIE,138 KV,T1
67719539,APS,LIMEKILN,230 KV,T3
67719541,APS,MCCAIN,230 KV,T2 LOAD
67719543,COMED,391 ARGY,138 KV,TR71
67719545,COMED,521 BRIS,138 KV,TR71
67719547,COMED,521 BRIS,138 KV,TR72
67719549,COMED,592 OSWE,138 KV,TR74 12
67719551,COMED,86 DAVIS,138 KV,TR71
67719553,AEP,BLENDON,138 KV,T3
67719555,AEP,CONESVIL,138 KV,RAT4
67719557,AEP,CONESVIL,138 KV,RAT5-6
67719561,AEP,GARRISON,138 KV,ELKRUN
67719563,AEP,HYATTCS,138 KV,T2 LOAD
67719565,AEP,MORGANFK,138 KV,T2LOAD
67719567,AEP,MORGANFK,138 KV,KENTUCKY
67719569,AEP,ROCKHOUS,138 KV,REPUBLIC
67719571,AEP,SAWMILL,138 KV,T4
67719573,AEP,STRABURG,138 KV,T1LOAD
67719575,DAYTON,STUART2,345 KV,BK5A7A
67719577,DAYTON,STUART2,345 KV,BK6A8A
67719579,DOM,SISISKY,13.2 KV,LOAD
67719581,DOM,GRASSFID,35 KV,TX1
67719583,DOM,TABB,35 KV,TX2
67719585,DOM,THRASHER,35 KV,TX3
67719587,DOM,CHANCELR,35 KV,TX3

Busses Deleted,,,,

Pnode ID,Tx Zone,Substation,Voltage,Equipment
32418637,AEP,FOOTHILL,345 KV,1,,,,,
32418639,AEP,FOOTHILL,345 KV,2,,,,,
32418643,AEP,ZELDA,345 KV,1,,,,,
32418645,AEP,ZELDA,345 KV,2,,,,,
32418647,AEP,ZELDA,345 KV,3,,,,,
49006,PE,ROLL PE,138 KV,FBUS,,,,,
57967567,DOM,STONEHAM,35 KV,TX1,,,,,
34885763,DOM,BOWERSHL,35 KV,TX1,,,,,
34886355,DOM,POSSUMP4,2 KV,ARS4,,,,,
34886357,DOM,POSSUMP4,2 KV,ARS5,,,,,
34886359,DOM,POSSUMP4,2 KV,R5-1,,,,,

Busses Changed,,,,,,,,,

Changed From:,,,,,,Changed To:,,,
Pnode ID,Tx Zone,Substation,Voltage,Equipment,Pnode ID,Tx Zone,Substation,Voltage,Equipment
32411291,AEP,FLOYD,138 KV,T2,67719559,AEP,FLOYD,138 KV,T-4
49040,PE,USSTEEL,138 KV,FBUS,67719501,PE,USSTEEL,69 KV,LOAD B
41935371,PS,SADDLEBR,230 KV,T-4,67719493,PS,SADDLEBR,138 KV,T-4
65732119,AE,WELLS,69 KV,WELLSLD,65732119,DPL,WELLS,69 KV,WELLSLD
