TYPE,COMPANY,ZONE,STATION,VOLTAGE,NAME,LONG NAME
LINE,AE,AE,ABSECON,69 KV,ABS-CAR,ABSECON-CARDIFF 0781
LINE,AE,AE,ABSECON,69 KV,ABS-CHES,ABSECON-CHESTNAE ABS-CHES
LINE,AE,AE,ABSECON,69 KV,ABS-LEW,ABSECON-LEWIS 0781
LINE,AE,AE,ABSECON,69 KV,ABS-LEW1,ABSECON-LEWIS 0702
LINE,AE,AE,ATCO,69 KV,ATC-BER,ATCO-BERLIN 0706-2
LINE,AE,AE,ATCO,69 KV,ATC-TAB,ATCO-TABERNAC 0783
LINE,AE,AE,ATCO,69 KV,ATC-TAN,ATCO-TANSBORO 0707
LINE,AE,AE,BARNEGAT,69 KV,BAR-CED1,BARNEGAT-CEDAR 0777
LINE,AE,AE,BARNEGAT,69 KV,BAR-CED2,BARNEGAT-CEDAR 0791
LINE,AE,AE,BECKETT,69 KV,BEC-CHU,BECKETT-CHURCHTO BEC-CHU
LINE,AE,AE,BECKETT,69 KV,BEC-PAU,BECKETT-PAULSBORO  0722-2
LINE,AE,AE,BERLIN,69 KV,BER-SIL,BERLIN-SILVERLA 0706-1
LINE,AE,AE,BRIDGEPO,230 KV,BRI-MIC,BRIDGEPO-MICKLETO 2315
LINE,AE,AE,BRIDGEPO,230 KV,BRI-PED,BRIDGEPO-PEDRICKT 2311
LINE,AE,AE,BUTLER,69 KV,BUT-LINC,BUTLER-LINCOLN3 BUT-LINC
LINE,AE,AE,BUTLER,69 KV,BUT-SHE,BUTLER-SHERMAN 0778
LINE,AE,AE,BUTLER,69 KV,BUT-VIN,BUTLER-VINELAND 0789
LINE,AE,AE,CAPEMAY,69 KV,CAP-RIO5,CAPE MAY- RIOGRAND5 0735-3
LINE,AE,AE,CAPEMAY,69 KV,CAP-RIO7,CAPE MAY- RIOGRAND 0737-3
LINE,AE,AE,CARDIFF,138 KV,CAR-LEW,LEWIS  -CARDIFF  1418
LINE,AE,AE,CARDIFF,138 KV,CAR-LEW2,CARDIFF-LEWIS CAR-LEW2
LINE,AE,AE,CARDIFF,230 KV,CAR-CED,CARDIFF-CEDAR 2317
LINE,AE,AE,CARDIFF,230 KV,CAR-NEW,CARDIFF-NEWFREED 2310
LINE,AE,AE,CARDIFF,230 KV,CAR-ORC,CARDIFF-ORCHARD CAR-ORC
LINE,AE,AE,CARDIFF,69 KV,CAR-MILL,CARDIFF-MILL 0782
LINE,AE,AE,CARLLS,69 KV,CAR-LAU,CARLLS-LAUREL 0709
LINE,AE,AE,CARLLS,69 KV,CAR-SHE,CARLLS-SHERMAN 0739
LINE,AE,AE,CARNEYPT,69 KV,CAR-CHU,CARNEYPT-CHURCHTO CAR-CHU
LINE,AE,AE,CARNEYPT,69 KV,CAR-PENN,CARNEYPT-PENNSGRO CAR-PENN
LINE,AE,AE,CEDAR,230 KV,CED-OYS,CEDAR-OYSTERCR
LINE,AE,AE,CEDAR,69 KV,CED-MOT4,CEDAR-MOTTS 0795
LINE,AE,AE,CEDAR,69 KV,CED-MOT5,CEDAR-MOTTS 0770
LINE,AE,AE,CEDAR,69 KV,CED-SHI,CEDAR-SHIPBOTT 767
LINE,AE,AE,CEDAR,69 KV,CED-SHI2,CEDAR-SHIPBOTT 766
LINE,AE,AE,CHAMBERS,230 KV,CHA-CHU,CHAMBERS-CHURCHTO 2313
LINE,AE,AE,CHAMBERS,230 KV,CHA-PED,CHAMBERS-PEDRICKT 2312
LINE,AE,AE,CHESTNAE,69 KV,CHE-MOSS,CHESTNAE-MOSSMILL 0796-2
LINE,AE,AE,CHESTNAE,69 KV,CHE-MOT6,CHESTNAE-MOTTS  0796-1
LINE,AE,AE,CHURCHTO,138 KV,CHU-UPP,CHURCHTO-UPPERPIT CHU-UPP
LINE,AE,AE,CHURCHTO,230 KV,CHU-ORC,CHURCHTO-ORCHARD  CHU-ORC
LINE,AE,AE,CHURCHTO,69 KV,CHU-QUI,CHURCHTO-QUINTON  0723
LINE,AE,AE,CHURCHTO,69 KV,CHU-SAL,CHURCHTO-SALEM AE CHU-SAL
LINE,AE,AE,CHURCHTO,69 KV,CHU-WOO5,CHURCHTO-WOODSTOW CHU-WOO5
LINE,AE,AE,CHURCHTO,69 KV,CHU-WOO6,CHURCHTO-WOODSTOW CHU-WOO6
LINE,AE,AE,CLAYTNAE,69 KV,CLA-WIL,CLAYTNAE-WILLIAMT 0716-2
LINE,AE,AE,CLAYTNAE,69 KV,CLA-WOO,CLAYTON AE-WOODSTOWN  0714
LINE,AE,AE,CORSON,138 KV,COR-DEN,CORSON-DENNIS 1417
LINE,AE,AE,CORSON,138 KV,COR-MDT,CORSON-MIDDLTAP 1403-2
LINE,AE,AE,CORSON,138 KV,COR-MER,CORSON-MERION 1411
LINE,AE,AE,CORSON,138 KV,COR-MID,CORSON-MIDD AE 1412
LINE,AE,AE,CORSON,138 KV,COR-UNI,CORSON-UNION 1402
LINE,AE,AE,CORSON,69 KV,COR-COU,CORSON-COURT 0720-1
LINE,AE,AE,CORSON,69 KV,COR-DEN,CORSON-DENNIS 0604
LINE,AE,AE,CORSON,69 KV,COR-SEA0,CORSON -SEAISLE  0780
LINE,AE,AE,CORSON,69 KV,COR-SEA7,CORSON -SEAISLE  0717-1
LINE,AE,AE,COURT,69 KV,COU-MID,COURT-MIDD AE  0798-2
LINE,AE,AE,COURT,69 KV,COU-SWA,COURT-SWAINTON 0611
LINE,AE,AE,CUMB AE,138 KV,CUM-SHE,CUMB AE-SHERMAN 1415
LINE,AE,AE,CUMB AE,138 KV,CUM-UNI,CUMB AE-UNION 1416
LINE,AE,AE,CUMB AE,230 KV,CUM-DEN,CUMB AE-DENNIS  2307
LINE,AE,AE,CUMB AE,230 KV,CUM-ORC,CUMB AE -ORCHARD  CUM-ORC
LINE,AE,AE,DACOSTA,69 KV,DAC-EGG,DACOSTA-EGGHARBO 0779
LINE,AE,AE,DACOSTA,69 KV,DAC-WIN,DACOSTA-WINSLOWA 0731-2
LINE,AE,AE,DENNIS,69 KV,DEN-TUC,DENNIS-TUCKAHOE 0750
LINE,AE,AE,DOROTHY,138 KV,DOR-LEW,DOROTHY-LEWIS 1422
LINE,AE,AE,DOROTHY,138 KV,DOR-MIN,DOROTHY-MINOTOLA DOR-MIN
LINE,AE,AE,EGGHARBO,69 KV,EGG-LEN,EGG HARBOR - LENOX 0794
LINE,AE,AE,ENGLAND,138 KV,ENG-MDT,ENGLAND-MIDDLTAP 1403-1
LINE,AE,AE,ENGLAND,138 KV,ENG-MER,ENGLAND-MERION 1401
LINE,AE,AE,ENGLAND,138 KV,ENG-SCU7,ENGLAND-SCULL 1407-1
LINE,AE,AE,ENGLAND,138 KV,ENG-SCU8,ENGLAND-SCULL 1408-1
LINE,AE,AE,FAIRTON,69 KV,FAI-LAU,FAIRTON-LAUREL 0708
LINE,AE,AE,FAIRTON,69 KV,FAI-NEW,FAIRTON-NEWPORT 0727
LINE,AE,AE,FRANKAE,138 KV,FRA-LAND,FRANKAE-LANDIS  1410
LINE,AE,AE,FRANKAE,138 KV,FRA-MONR,FRANKAE-MONR AE  1420
LINE,AE,AE,GLASSBOR,69 KV,GLA-MON,GLASSBOR-MONR AE 0729-1
LINE,AE,AE,GLASSBOR,69 KV,GLA-ROW,GLASSBOR-ROWAN  0729-2
LINE,AE,AE,HARBORBC,69 KV,HAR-HURO,HARBORBC-HURON HAR-HURO
LINE,AE,AE,HARBORBC,69 KV,HAR-ONTA,HARBORBC-ONTARIO HAR-ONTA
LINE,AE,AE,HIGBEE,69 KV,HIG-LEW1,HIGBEE-LEWIS1 0741
LINE,AE,AE,HIGBEE,69 KV,HIG-LEWI,HIGBEE-LEWIS HIG-LEWI 0751
LINE,AE,AE,HIGBEE,69 KV,HIG-ONT,HIGBEE-ONTARIO 0772
LINE,AE,AE,HIGHST,69 KV,HIG-PAU,HIGHST-PAULSBRO HIG-PAU
LINE,AE,AE,HIGHST,69 KV,HIG-WOO,HIGHST-WOODSTOWN HIG-WOO
LINE,AE,AE,HURON,69 KV,HUR-LEW,HURON-LEWIS 0703
LINE,AE,AE,HURON,69 KV,HUR-ONT,HURON-ONTARIO 0734
LINE,AE,AE,LAKEAVEN,69 KV,LAK-MID,LAKE AVEN. - MIDDLE 0736
LINE,AE,AE,LAKEAVEN,69 KV,LAK-MIDT,LAKE AVEN- MIDD TAP 0798-4
LINE,AE,AE,LAMB,69 KV,LAM-MANT,LAMB-MANTUA LAM-MANT
LINE,AE,AE,LAMB,69 KV,LAM-PIT,LAMB-PITMAN 0787
LINE,AE,AE,LAMB,69 KV,LAM-WEN,LAMB-WENONAH 0785-2
LINE,AE,AE,LANDIS,138 KV,LAN-MIN,LANDIS-MINOTOLA 1409
LINE,AE,AE,LANDIS,138 KV,LAN-MON,LANDIS-MONR AE 1404
LINE,AE,AE,LANDIS,138 KV,LAN-UPP,LANDIS-UPPERPITTSGROVE
LINE,AE,AE,LAUREL,69 KV,LAU-ROA,LAUREL-ROADSTOWN 0799
LINE,AE,AE,LAUREL,69 KV,LAU-WOO,LAUREL-WOODSTOW 0740
LINE,AE,AE,LENOX AE,69 KV,LEN-LEW,LENOX-LEWIS  0721
LINE,AE,AE,LEWIS,138 KV,LEW-MIL3,LEWIS-MILL LEW-MIL3
