TYPE,COMPANY,ZONE,STATION,VOLTAGE,NAME,LONG NAME
XFMR,AE,AE,BRIDGEPO,230 KV,T2,BRIDGEPO T2       XFORMER
XFMR,AE,AE,CARDIFF,230 KV,CARD #1,CARDIFF TRAN 1
XFMR,AE,AE,CARDIFF,230 KV,CARD #2,CARDIFF TRAN 2
XFMR,AE,AE,CARDIFF,230 KV,T6,CARDIFF  T6       XFORMER
XFMR,AE,AE,CARDIFF,230 KV,T7,CARDIFF T7 XFORMER
XFMR,AE,AE,CEDAR,230 KV,CEDAR T8,CEDAR    CEDAR T8 XFORMER
XFMR,AE,AE,CEDAR,230 KV,CEDAR T9,CEDAR    CEDAR T9 XFORMER
XFMR,AE,AE,CHAMBERS,230 KV,GSU1,CHAMBERS GSU1     XFORMER
XFMR,AE,AE,CHURCHTO,230 KV,CRCH #1,CHURCHTO CRCH #1  XFORMER
XFMR,AE,AE,CHURCHTO,230 KV,T3,CHURCHTO T3 XFORMER
XFMR,AE,AE,CHURCHTO,230 KV,T4,CHURCHTO T4 XFORMER
XFMR,AE,AE,CORSON,138 KV,CORS #1,CORSON   CORS #1  XFORMER
XFMR,AE,AE,CORSON,138 KV,CORS #2,CORSON   CORS #2  XFORMER
XFMR,AE,AE,CROWNPNT,230 KV,GSU 1,CROWNPNT GSU 1    XFORMER
XFMR,AE,AE,CROWNPNT,230 KV,GSU 2,CROWNPNT GSU 2    XFORMER
XFMR,AE,AE,CROWNPNT,230 KV,GSU ST1,CROWNPNT GSU ST1  XFORMER
XFMR,AE,AE,CUMB AE,138 KV,GSU1,CUMB AE  GSU1     XFORMER
XFMR,AE,AE,CUMB AE,230 KV,CUMB #2,CUMB AE  CUMB #2  XFORMER
XFMR,AE,AE,CUMB AE,230 KV,GSU,CUMB AE  GSU      XFORMER
XFMR,AE,AE,CUMB AE,230 KV,T3,CUMB AE  T3       XFORMER
XFMR,AE,AE,DENNIS,230 KV,T2,DENNIS T2 TRASNFORMER
XFMR,AE,AE,DENNIS,230 KV,T3,DENNIS T3 XFORMER
XFMR,AE,AE,ENGLAND,138 KV,ENG #2,ENGLAND  ENG #2   XFORMER
XFMR,AE,AE,ENGLAND,138 KV,ENG #3,ENGLAND  ENG #3   XFORMER
XFMR,AE,AE,ENGLAND,138 KV,TRAN A,ENGLAND  TRAN A  XFORMER
XFMR,AE,AE,ENGLAND,138 KV,TRAN B,ENGLAND  TRAN B  XFORMER
XFMR,AE,AE,HIGBEE,69 KV,T1,HIGBEE   T1       XFORMER
XFMR,AE,AE,HIGBEE,69 KV,T2,HIGBEE   T2       XFORMER
XFMR,AE,AE,HURON,69 KV,GSU,HURON    GSU      XFORMER
XFMR,AE,AE,LEWIS,138 KV,LEW #1,LEWIS    LEW #1   XFORMER
XFMR,AE,AE,LEWIS,138 KV,LEW #2,LEWIS    LEW #2   XFORMER
XFMR,AE,AE,LEWIS,138 KV,LEW #3,LEWIS    LEW #3   XFORMER
XFMR,AE,AE,LINCOLN3,69 KV,GSU,LINCOLN3 GSU XFORMER
XFMR,AE,AE,MICKLETO,230 KV,MICK #1,MICKLETO MICK #1  XFORMER
XFMR,AE,AE,MICKLETO,230 KV,MICK #4,MICKLETO MICK #4  XFORMER
XFMR,AE,AE,MIDD AE,138 KV,MID #3,MIDD AE  MID #3   XFORMER
XFMR,AE,AE,MIDD AE,138 KV,MID #4,MIDD AE  MID #4   XFORMER
XFMR,AE,AE,MILL,138 KV,MILL #1,MILL MILL #1 XFORMER
XFMR,AE,AE,MONR AE,230 KV,MON #3,MONR AE  MON #3   XFORMER
XFMR,AE,AE,MONR AE,230 KV,MON #4,MONR AE  MON #4   XFORMER
XFMR,AE,AE,MONR AE,230 KV,MON #5,MONR AE  MON #5   XFORMER
XFMR,AE,AE,MONR AE,230 KV,MON #6,MONR AE  MON #6   XFORMER
XFMR,AE,AE,ORCHARD,500 KV,T1,ORCHARD  T1       XFORMER
XFMR,AE,AE,PEDRICKT,230 KV,GSU1,PEDRICKT GSU1     XFORMER
XFMR,AE,AE,PEDRICKT,230 KV,GSU2,PEDRICKT GSU2     XFORMER
XFMR,AE,AE,SHERMAN,138 KV,GSU1,SHERMAN  GSU1     XFORMER
XFMR,AE,AE,SHERMAN,138 KV,SHER #2,SHERMAN  SHER #2  XFORMER
XFMR,AE,AE,SHERMAN,138 KV,SHER #3,SHERMAN  SHER #3  XFORMER
XFMR,AE,AE,SICKLER,230 KV,SICK #1,SICKLER  SICK #1  XFORMER
XFMR,AE,AE,SICKLER,230 KV,SICK #2,SICKLER  SICK #2  XFORMER
XFMR,AE,AE,SILVERLA,230 KV,SILV #2,SILVERLA SILV #2  XFORMER
