,,"LMP Bus Model Update - October 8, 2008",,


Busses Added,,,,

Pnode ID,Tx Zone,Substation,Voltage,Equipment
71856679,PS,VFT_ST,230 KV,PJMVFTGN
71856681,PE,BARBADOS,35 KV,REG BATT
71856683,PL,ARCHBTAP,13 KV,PEI 3
71856685,PL,ARCHBTAP,13 KV,PEI 4
71856687,BC,GOULDST,13 KV,AMSTAR
71856705,PEP,BETHESDA,34 KV,BETHTRIA
71856707,PEP,RITCHIE,69 KV,PG COGEN
71856709,PEP,RITCHIE,69 KV,BROWNLF
71856711,AE,CUMB AE,13.8 KV,CUMBG1
71856719,AE,PEDRICKT,13.8 KV,PCLPST
71856723,COMED,107 DIXO,138 KV,EVE WF
71856727,AEP,MAYFLWRD,69 KV,MAYFLWR
71856751,DOM,FOURRIVR,13.8 KV,GT501
71856753,DOM,FOURRIVR,13.8 KV,GT502
71856755,DOM,FOURRIVR,13.8 KV,ST601
71856757,DOM,FOURRIVR,13.8 KV,GT601
71856759,DOM,FOURRIVR,13.8 KV,GT602
71856749,DOM,FOURRIVR,13.8 KV,ST501
71856765,DOM,HURT,13.8 KV,G22
71856767,DOM,NEAST,35 KV,BFI LF
71856769,DOM,SHACKLFD,35 KV,SHACKLF2
71856435,PS,BRIDGEWA,230 KV,26KV-3
71856437,PS,CINNAMIN,138 KV,T-3
71856439,PS,CINNAMIN,138 KV,T-4
71856441,PS,MEDFORD2,69 KV,MEDFORD1
71856443,PS,VFT_ST,230 KV,PJMVFTLD
71856445,BC,CANINERD,115 KV,NSA3-1
71856447,BC,CANINERD,115 KV,NSA3-2
71856449,BC,CRYSTLSP,13.8 KV,110-3LD
71856451,BC,CRYSTLSP,13.8 KV,110-4LD
71856453,JC,ENGLISHT,115 KV,LOADTR
71856455,PN,SCRUBGRS,13 KV,AUXLD
71856457,AE,CUMB AE,13.8 KV,AUXLD1
71856459,AE,DEEPWATE,13.2 KV,AUXLD1
71856461,AE,PEDRICKT,13.8 KV,AUXLD1
71856463,AE,PEDRICKT,13.8 KV,AUXLD2
71856465,AE,SHERMAN,13.8 KV,AUXLD1
71856467,APS,CHESRDGE,138 KV,TL1
71856469,APS,CHTLAKE,138 KV,T61
71856471,APS,CHTLAKE,138 KV,T62
71856473,APS,ETHELSPR,138 KV,T62
71856475,APS,FREDERIC,230 KV,T1
71856477,APS,FREDERIC,230 KV,T2
71856479,APS,FREDERIC,230 KV,T5
71856481,APS,FTMARRES,138 KV,SS LOAD
71856483,APS,HATFIRES,138 KV,LDT1CS
71856487,APS,LARDIN,138 KV,T62
71856497,APS,MALDEN,138 KV,T1
71856501,APS,MCCAIN,230 KV,T4 LOAD
71856503,COMED,149 WILM,138 KV,TR79 34
71856505,AEP,ADENA,69 KV,T1
71856507,AEP,CENTALUM,138 KV,LD1
71856509,AEP,CENTALUM,138 KV,LD2
71856511,AEP,CENTALUM,138 KV,LD3
71856513,AEP,CENTALUM,138 KV,LD4
71856515,AEP,SBUFFALO,138 KV,T3
71856517,AEP,SBUFFALO,138 KV,T4
71856519,DOM,BRAMBLET,230 KV,TX1
71856521,DOM,MTN RUN,34.5 KV,LOAD1
